Mode  87:    1001.03   55.1
      Name       Definition      Value  Relative Weight (%)
       A66      A(25,30,33)       0.39                 9.50
       A64      A(25,30,31)      -0.22                 5.20
      D113   D(26,25,30,32)      -0.21                 5.00
      D109   D(24,25,30,31)       0.19                 4.60
      D110   D(24,25,30,32)      -0.19                 4.60
Mode  88:    1005.30   28.3
      Name       Definition      Value  Relative Weight (%)
       A82       A(7,41,42)       0.37                 5.00
       A81       A(1,41,42)      -0.23                 3.10
       R15          R(7,41)       0.20                 2.60
       R14          R(7,21)       0.16                 2.10
       A80        A(1,41,7)      -0.14                 1.90
Mode  89:    1013.06   22.6
      Name       Definition      Value  Relative Weight (%)
      D114   D(26,25,30,33)       0.42                 6.60
      D108   D(30,25,26,29)      -0.40                 6.30
       A65      A(25,30,32)       0.38                 6.10
       A64      A(25,30,31)      -0.33                 5.30
      D118   D(29,26,27,34)       0.31                 4.90
Mode  93:    1032.60   35.6
      Name       Definition      Value  Relative Weight (%)
       R52         R(45,46)       0.34                 3.30
      D143   D(47,46,48,54)      -0.21                 2.00
      D134   D(48,46,47,51)       0.19                 1.90
        A9         A(4,3,8)      -0.18                 1.70
        R8           R(4,5)      -0.17                 1.60
Mode  94:    1049.41   24.6
      Name       Definition      Value  Relative Weight (%)
       A30      A(14,13,18)      -0.21                 3.00
       A29      A(12,13,18)       0.17                 2.50
        R8           R(4,5)      -0.15                 2.20
       R21         R(13,14)      -0.15                 2.20
       A14        A(4,5,10)      -0.15                 2.20
Mode  95:    1052.57   20.8
      Name       Definition      Value  Relative Weight (%)
      A107      A(47,50,58)      -0.14                 1.80
      A120      A(53,56,61)      -0.14                 1.80
       A30      A(14,13,18)       0.13                 1.70
       A97      A(50,47,52)      -0.13                 1.70
      A113      A(48,53,60)       0.12                 1.60
Mode  96:    1053.25   35.2
      Name       Definition      Value  Relative Weight (%)
      A113      A(48,53,60)       0.14                 1.80
      A118      A(50,56,61)       0.13                 1.60
      D129   D(43,45,46,49)      -0.13                 1.60
       R52         R(45,46)       0.12                 1.50
      A103      A(53,48,55)       0.12                 1.50
Mode  97:    1061.01   39.5
      Name       Definition      Value  Relative Weight (%)
       A11         A(3,4,9)       0.24                 2.90
       A12         A(5,4,9)      -0.23                 2.80
        A9         A(4,3,8)       0.21                 2.60
       R12          R(6,43)      -0.18                 2.20
        R5          R(2,21)       0.17                 2.10
Mode  99:    1108.05   42.3
      Name       Definition      Value  Relative Weight (%)
       A81       A(1,41,42)      -0.24                 3.80
       A33      A(15,14,19)      -0.23                 3.60
       A82       A(7,41,42)       0.21                 3.40
       A32      A(13,14,19)       0.20                 3.10
       A78      A(12,40,63)       0.18                 2.80
Mode 102:    1142.91   95.8
      Name       Definition      Value  Relative Weight (%)
       A79      A(17,40,63)      -0.32                 6.60
       A78      A(12,40,63)       0.32                 6.50
       A60      A(27,26,29)      -0.21                 4.40
       A32      A(13,14,19)      -0.21                 4.30
       A33      A(15,14,19)       0.20                 4.00
Mode 103:    1151.09   42.5
      Name       Definition      Value  Relative Weight (%)
       A12         A(5,4,9)      -0.28                 4.10
       A11         A(3,4,9)       0.27                 3.90
        A8         A(2,3,8)      -0.21                 3.10
        A9         A(4,3,8)       0.21                 3.10
       A15        A(6,5,10)       0.16                 2.40
Mode 105:    1166.61   44.7
      Name       Definition      Value  Relative Weight (%)
       A81       A(1,41,42)      -0.31                 4.70
       A82       A(7,41,42)       0.25                 3.80
       A29      A(12,13,18)       0.21                 3.20
       A30      A(14,13,18)      -0.20                 3.00
       A33      A(15,14,19)       0.17                 2.60
Mode 106:    1202.81   41.4
      Name       Definition      Value  Relative Weight (%)
       A59      A(25,26,29)      -0.30                 4.70
       A60      A(27,26,29)       0.29                 4.70
       A54      A(25,24,28)       0.25                 4.00
