       R16         R(12,13)       0.22                 3.50
       R20         R(14,15)      -0.20                 3.30
       A30      A(13,14,18)      -0.21                 3.30
       R14          R(7,13)      -0.20                 3.20
Mode 117:    1508.54  295.9
      Name       Definition      Value  Relative Weight (%)
       R14          R(7,13)       0.67                 6.50
       A56       A(7,30,31)       0.50                 4.90
       R13          R(7,11)      -0.47                 4.50
       A55       A(1,30,31)      -0.34                 3.30
       A20       A(11,7,30)       0.33                 3.20
Mode 118:    1591.36   40.1
      Name       Definition      Value  Relative Weight (%)
        R4           R(2,3)      -0.63                 5.80
       R10           R(5,6)      -0.48                 4.50
       A15        A(6,5,10)       0.48                 4.50
       A14        A(4,5,10)      -0.45                 4.20
        R1           R(1,2)       0.44                 4.10
Mode 119:    1597.58  107.2
      Name       Definition      Value  Relative Weight (%)
        R2           R(1,6)      -0.72                 5.80
       A55       A(1,30,31)      -0.39                 3.20
        R6           R(3,4)      -0.39                 3.10
       R12          R(6,32)       0.38                 3.10
       R36         R(32,34)      -0.39                 3.10
Mode 121:    1622.03   86.7
      Name       Definition      Value  Relative Weight (%)
       A30      A(13,14,18)       0.48                 5.00
       A31      A(15,14,18)      -0.45                 4.70
       R20         R(14,15)       0.43                 4.60
       R17         R(12,17)       0.42                 4.40
       R19         R(13,14)      -0.42                 4.40
Mode 122:    1643.26  155.6
      Name       Definition      Value  Relative Weight (%)
       R36         R(32,34)       0.86                 8.70
       A57       A(6,32,33)       0.68                 6.80
       A59      A(33,32,34)      -0.52                 5.20
        R2           R(1,6)      -0.36                 3.60
       R12          R(6,32)      -0.31                 3.10
Mode 123:    2928.72   50.5
      Name       Definition      Value  Relative Weight (%)
       R49         R(39,47)      -0.91                30.00
       R48         R(39,46)      -0.44                14.40
       R54         R(45,51)      -0.28                 9.10
       R43         R(36,41)       0.16                 5.30
       R52         R(42,49)      -0.06                 1.90
Mode 124:    2933.00   40.6
      Name       Definition      Value  Relative Weight (%)
       R52         R(42,49)      -0.88                26.30
       R51         R(42,48)      -0.45                13.60
       R54         R(45,51)      -0.31                 9.40
       R46         R(37,44)       0.14                 4.10
       R48         R(39,46)       0.12                 3.50
Mode 126:    2935.86   71.6
      Name       Definition      Value  Relative Weight (%)
       R54         R(45,51)       0.76                19.10
       R53         R(45,50)       0.44                11.10
       R42         R(36,40)      -0.36                 9.00
       R40         R(35,38)      -0.26                 6.60
       R51         R(42,48)      -0.23                 5.70
Mode 127:    2938.26   28.5
      Name       Definition      Value  Relative Weight (%)
       R45         R(37,43)       0.73                18.40
       R40         R(35,38)       0.45                11.30
       R46         R(37,44)       0.36                 9.00
       R42         R(36,40)      -0.35                 8.80
       R43         R(36,41)      -0.29                 7.20
Mode 128:    2941.48   62.2
      Name       Definition      Value  Relative Weight (%)
       R28         R(20,22)       0.68                32.30
