       A32      A(13,14,18)       0.53                 5.20
       R25         R(16,17)      -0.45                 4.40
       A38      A(15,16,19)      -0.42                 4.10
Mode 120:    1605.10   34.2
      Name       Definition      Value  Relative Weight (%)
        R4           R(2,3)      -0.68                 5.70
        R2           R(1,6)       0.51                 4.30
        A9         A(4,3,8)      -0.48                 4.00
        A8         A(2,3,8)       0.45                 3.70
        R5          R(2,11)       0.40                 3.40
Mode 121:    1612.71  158.9
      Name       Definition      Value  Relative Weight (%)
        R1           R(1,2)       0.63                 5.70
        R2           R(1,6)      -0.50                 4.50
        R8           R(4,5)       0.45                 4.00
       A15        A(6,5,10)       0.44                 4.00
       A56       A(1,29,30)      -0.44                 4.00
Mode 122:    1644.98   93.1
      Name       Definition      Value  Relative Weight (%)
       R36         R(31,33)       0.87                 9.20
       A58       A(6,31,32)       0.69                 7.30
       A60      A(32,31,33)      -0.52                 5.50
        R2           R(1,6)      -0.38                 4.00
       R12          R(6,31)      -0.29                 3.10
Mode 123:    2931.81   36.8
      Name       Definition      Value  Relative Weight (%)
       R54         R(44,50)       0.87                24.10
       R52         R(41,48)       0.44                12.10
       R53         R(44,49)       0.32                 8.90
       R49         R(38,46)       0.20                 5.60
       R40         R(34,37)      -0.12                 3.30
Mode 124:    2933.37   46.9
      Name       Definition      Value  Relative Weight (%)
       R52         R(41,48)      -0.74                20.50
       R51         R(41,47)      -0.51                14.00
       R54         R(44,50)       0.35                 9.70
       R53         R(44,49)       0.29                 8.00
       R40         R(34,37)       0.20                 5.50
Mode 125:    2936.85   51.4
      Name       Definition      Value  Relative Weight (%)
       R49         R(38,46)      -0.80                24.00
       R48         R(38,45)      -0.56                17.00
       R43         R(35,40)       0.24                 7.10
       R53         R(44,49)       0.21                 6.50
       R42         R(35,39)       0.17                 5.20
Mode 127:    2940.82   22.6
      Name       Definition      Value  Relative Weight (%)
       R45         R(36,42)       0.77                20.10
       R40         R(34,37)       0.47                12.30
       R46         R(36,43)       0.38                 9.80
       R42         R(35,39)      -0.27                 7.00
       R43         R(35,40)      -0.26                 6.90
Mode 129:    2949.99  104.0
      Name       Definition      Value  Relative Weight (%)
       R40         R(34,37)      -0.82                22.60
       R45         R(36,42)       0.44                12.30
       R46         R(36,43)       0.37                10.30
       R43         R(35,40)       0.28                 7.60
       R42         R(35,39)       0.16                 4.50
Mode 131:    2977.72   81.4
      Name       Definition      Value  Relative Weight (%)
       R51         R(41,47)       0.82                20.90
       R53         R(44,49)       0.53                13.60
       R52         R(41,48)      -0.39                10.00
       R49         R(38,46)       0.15                 3.80
       R46         R(36,43)       0.15                 3.70
Mode 132:    2979.93   90.1
      Name       Definition      Value  Relative Weight (%)
       R48         R(38,45)      -0.80                19.90
       R53         R(44,49)      -0.51                12.60
       R49         R(38,46)       0.37                 9.10
       R43         R(35,40)      -0.25                 6.30
       R54         R(44,50)       0.17                 4.20
Mode 133:    2982.59   67.1
      Name       Definition      Value  Relative Weight (%)
       R53         R(44,49)       0.59                13.80
       R54         R(44,50)      -0.44                10.20
       R51         R(41,47)      -0.42                 9.70
