Mode  69:    1020.78   36.6
      Name       Definition      Value  Relative Weight (%)
       D84   D(31,30,32,51)       0.24                 2.50
       R36         R(32,33)       0.22                 2.30
       A89      A(43,40,46)      -0.22                 2.20
      D131   D(44,37,43,48)      -0.19                 2.00
       A81      A(34,37,44)      -0.18                 1.90
Mode  70:    1024.37   47.4
      Name       Definition      Value  Relative Weight (%)
       D84   D(31,30,32,51)      -0.45                 4.70
       D33     D(5,6,30,31)       0.32                 3.40
       D31     D(1,6,30,31)       0.27                 2.80
       D83   D(31,30,32,33)      -0.27                 2.80
       R36         R(32,33)       0.19                 2.00
Mode  71:    1040.48   31.9
      Name       Definition      Value  Relative Weight (%)
       D84   D(31,30,32,51)      -0.69                 9.00
       D83   D(31,30,32,33)      -0.57                 7.40
       D33     D(5,6,30,31)       0.55                 7.20
       D31     D(1,6,30,31)       0.47                 6.10
       D88   D(51,32,33,34)       0.22                 2.90
Mode  74:    1070.98   32.5
      Name       Definition      Value  Relative Weight (%)
       R39         R(33,35)      -0.21                 2.10
       R38         R(33,34)       0.20                 2.00
       R44         R(35,40)       0.16                 1.70
       R50         R(40,43)      -0.17                 1.70
       R41         R(34,37)      -0.16                 1.60
Mode  75:    1078.57   52.2
      Name       Definition      Value  Relative Weight (%)
       A12         A(5,4,9)      -0.19                 2.10
       A23       A(2,11,50)       0.18                 1.90
      D113   D(38,34,37,44)      -0.18                 1.90
      D116   D(39,34,37,44)      -0.18                 1.90
       A11         A(3,4,9)       0.17                 1.80
Mode  78:    1148.46   79.4
      Name       Definition      Value  Relative Weight (%)
       A24       A(7,11,50)       0.30                 6.50
       A23       A(2,11,50)      -0.30                 6.40
       A11         A(3,4,9)       0.22                 4.60
       A12         A(5,4,9)      -0.21                 4.40
       A39      A(17,16,19)       0.18                 3.90
Mode  80:    1170.75   63.5
      Name       Definition      Value  Relative Weight (%)
        A8         A(2,3,8)       0.27                 3.50
        A9         A(4,3,8)      -0.26                 3.30
       A11         A(3,4,9)      -0.18                 2.30
       A12         A(5,4,9)       0.18                 2.30
       A15        A(6,5,10)      -0.18                 2.30
Mode  81:    1212.11   28.0
      Name       Definition      Value  Relative Weight (%)
       A38      A(15,16,19)      -0.33                 6.30
       A39      A(17,16,19)       0.31                 6.10
       A33      A(15,14,18)       0.27                 5.30
       A32      A(13,14,18)      -0.24                 4.60
       A23       A(2,11,50)       0.24                 4.50
Mode  82:    1225.48  256.5
      Name       Definition      Value  Relative Weight (%)
       A15        A(6,5,10)      -0.31                 5.00
       A14        A(4,5,10)       0.30                 4.90
       A58      A(31,30,32)      -0.28                 4.60
       R10           R(5,6)      -0.22                 3.60
       A56       A(6,30,31)       0.22                 3.60
Mode  86:    1260.74   56.6
      Name       Definition      Value  Relative Weight (%)
       A76      A(33,35,42)       0.28                 3.00
       A78      A(40,35,42)      -0.28                 2.90
      D113   D(38,34,37,44)      -0.20                 2.10
       A75      A(33,35,41)      -0.19                 2.00
       A77      A(40,35,41)       0.19                 2.00
Mode  87:    1276.71   84.6
      Name       Definition      Value  Relative Weight (%)
       R23         R(15,16)       0.48                 4.90
       R21         R(14,15)      -0.44                 4.60
       R18         R(12,17)       0.42                 4.30
       R17         R(12,13)      -0.38                 3.90
       R20         R(13,14)       0.32                 3.30
Mode  88:    1280.35  239.3
      Name       Definition      Value  Relative Weight (%)
        R3          R(1,29)       0.36                 3.00
       A39      A(17,16,19)      -0.20                 1.70
       A76      A(33,35,42)      -0.20                 1.70
       D99   D(36,33,34,39)      -0.20                 1.70
        R1           R(1,2)      -0.18                 1.50
Mode  90:    1304.31   74.7
      Name       Definition      Value  Relative Weight (%)
       A56       A(6,30,31)       0.30                 2.90
       A15        A(6,5,10)       0.28                 2.70
       A58      A(31,30,32)      -0.27                 2.70
        R3          R(1,29)      -0.26                 2.50
        R5          R(2,11)       0.24                 2.30
Mode  91:    1310.16   58.9
      Name       Definition      Value  Relative Weight (%)
       D98   D(36,33,34,38)       0.45                 4.40
       D97   D(36,33,34,37)       0.40                 3.90
       D99   D(36,33,34,39)       0.39                 3.80
       A67      A(35,33,36)      -0.33                 3.20
       A64      A(32,33,36)       0.32                 3.10
Mode  94:    1334.52   39.4
      Name       Definition      Value  Relative Weight (%)
       R13          R(7,11)       0.27                 2.50
       R15          R(7,29)      -0.28                 2.50
       A38      A(15,16,19)       0.26                 2.30
       A23       A(2,11,50)       0.22                 2.00
       A39      A(17,16,19)      -0.22                 2.00
Mode  99:    1362.81   44.2
      Name       Definition      Value  Relative Weight (%)
       A52      A(25,24,26)       0.53                10.60
       A49      A(17,24,25)      -0.34                 6.70
       A50      A(17,24,26)      -0.33                 6.60
       A51      A(17,24,27)      -0.27                 5.40
       A53      A(25,24,27)       0.26                 5.20
Mode 100:    1375.01  314.5
      Name       Definition      Value  Relative Weight (%)
       A11         A(3,4,9)      -0.37                 3.90
       A12         A(5,4,9)       0.33                 3.50
        A9         A(4,3,8)       0.31                 3.30
        A8         A(2,3,8)      -0.29                 3.10
        R8           R(4,5)      -0.25                 2.60
Mode 101:    1382.79  121.1
      Name       Definition      Value  Relative Weight (%)
       A53      A(25,24,27)       0.34                 3.90
       A33      A(15,14,18)      -0.31                 3.60
       A32      A(13,14,18)       0.29                 3.30
       A54      A(26,24,27)       0.28                 3.20
       R13          R(7,11)       0.26                 2.90
Mode 102:    1386.47  136.3
      Name       Definition      Value  Relative Weight (%)
       D99   D(36,33,34,39)       0.40                 3.20
      D108   D(36,33,35,42)      -0.35                 2.90
       A64      A(32,33,36)       0.32                 2.60
       D97   D(36,33,34,37)       0.31                 2.50
        R2           R(1,6)       0.28                 2.30
Mode 103:    1413.46   22.7
      Name       Definition      Value  Relative Weight (%)
       A46      A(21,20,22)      -0.34                 2.70
       A47      A(21,20,23)       0.32                 2.50
       D99   D(36,33,34,39)      -0.27                 2.20
       D65   D(14,15,20,21)       0.25                 2.00
       D68   D(16,15,20,21)       0.25                 2.00
Mode 105:    1419.06   61.3
