Mode  89:    1002.26   63.6
      Name       Definition      Value  Relative Weight (%)
      A123      A(20,62,65)      -0.24                 3.20
      A129      A(20,66,69)      -0.17                 2.20
      A103      A(21,50,51)       0.16                 2.10
      A117      A(20,58,61)      -0.16                 2.00
      A127      A(20,66,67)       0.15                 2.00
Mode  90:    1008.83  101.4
      Name       Definition      Value  Relative Weight (%)
       D53   D(13,12,22,23)      -0.55                12.70
       D54   D(17,12,22,23)      -0.52                11.90
      A111      A(21,54,57)      -0.10                 2.30
       A98      A(21,46,48)       0.09                 2.00
       D66   D(20,15,16,19)      -0.07                 1.70
Mode  91:    1014.33   31.5
      Name       Definition      Value  Relative Weight (%)
      A127      A(20,66,67)      -0.29                 3.90
      A116      A(20,58,60)       0.25                 3.30
      A115      A(20,58,59)      -0.21                 2.90
      A128      A(20,66,68)       0.20                 2.70
      D106   D(58,20,66,69)       0.19                 2.50
Mode  92:    1016.17  104.1
      Name       Definition      Value  Relative Weight (%)
      A103      A(21,50,51)      -0.22                 2.70
      A111      A(21,54,57)       0.19                 2.20
      A116      A(20,58,60)       0.16                 1.90
      A123      A(20,62,65)      -0.15                 1.90
      A110      A(21,54,56)      -0.15                 1.80
Mode  93:    1023.11   34.2
      Name       Definition      Value  Relative Weight (%)
       A98      A(21,46,48)      -0.29                 4.20
       D54   D(17,12,22,23)      -0.23                 3.40
      A111      A(21,54,57)       0.23                 3.20
       D53   D(13,12,22,23)      -0.22                 3.10
       A97      A(21,46,47)       0.19                 2.70
Mode  94:    1027.66   24.3
      Name       Definition      Value  Relative Weight (%)
      D138   D(27,26,28,29)       0.26                 3.00
       A88      A(39,36,42)       0.19                 2.20
       D33     D(5,6,26,27)      -0.19                 2.10
       A80      A(30,33,40)       0.16                 1.80
       D31     D(1,6,26,27)      -0.15                 1.80
Mode  95:    1029.80   66.9
      Name       Definition      Value  Relative Weight (%)
      D138   D(27,26,28,29)      -0.23                 2.70
        R8           R(4,5)       0.20                 2.30
       A82      A(39,33,40)       0.17                 1.90
       D33     D(5,6,26,27)       0.17                 1.90
       A86      A(31,36,42)       0.14                 1.60
Mode  96:    1039.57  425.7
      Name       Definition      Value  Relative Weight (%)
       A55       A(1,24,25)      -0.27                 2.30
       A56       A(7,24,25)       0.27                 2.30
       R37         R(28,29)       0.26                 2.20
      A103      A(21,50,51)       0.19                 1.60
      D155   D(30,29,31,37)      -0.14                 1.20
Mode  98:    1061.27   63.2
      Name       Definition      Value  Relative Weight (%)
       R37         R(28,29)       0.28                 2.70
       A56       A(7,24,25)      -0.20                 1.90
       A55       A(1,24,25)       0.19                 1.80
        A9         A(4,3,8)       0.16                 1.50
       A14        A(4,5,10)       0.14                 1.40
Mode 100:    1083.21   83.7
      Name       Definition      Value  Relative Weight (%)
       A11         A(3,4,9)       0.26                 2.90
       A12         A(5,4,9)      -0.25                 2.90
       R12          R(6,26)      -0.22                 2.40
        R5          R(2,11)       0.20                 2.30
        A9         A(4,3,8)       0.17                 1.90
Mode 101:    1107.49 1685.3
      Name       Definition      Value  Relative Weight (%)
       R22         R(15,16)       0.22                 2.10
       R20         R(14,15)       0.22                 2.00
      A123      A(20,62,65)      -0.22                 2.00
      A127      A(20,66,67)      -0.20                 1.90
      A116      A(20,58,60)      -0.19                 1.70
Mode 103:    1146.60  516.5
      Name       Definition      Value  Relative Weight (%)
        A9         A(4,3,8)      -0.28                 3.60
        A8         A(2,3,8)       0.23                 3.00
       A12         A(5,4,9)       0.23                 3.00
       A56       A(7,24,25)      -0.22                 2.80
       A11         A(3,4,9)      -0.20                 2.60
Mode 105:    1169.42  172.4
      Name       Definition      Value  Relative Weight (%)
      A103      A(21,50,51)       0.22                 1.90
       R17         R(12,17)      -0.21                 1.80
       A55       A(1,24,25)       0.21                 1.80
      A111      A(21,54,57)       0.21                 1.80
      D131   D(46,21,54,55)       0.21                 1.80
Mode 107:    1183.57   22.7
      Name       Definition      Value  Relative Weight (%)
      D122   D(46,21,50,51)      -0.37                 2.90
      A105      A(21,50,53)      -0.35                 2.80
       R32         R(21,54)       0.35                 2.70
      D125   D(54,21,50,51)      -0.34                 2.60
